id,artist_name,genre,genre_number
0X2BH1fck6amBIoJhDVmmJ,Ellie Goulding,Indie,12
56zJ6PZ3mNPBiBqglW2KxL,Peder Elias,Indie,12
0LcJLqbBmaGUft1e9Mm8HV,ABBA,Dance Pop,7
3Isy6kedDrgPYoTS1dazA9,Sean Paul,Dance Pop,7
5zixe6AbgXPqt4c1uSl94L,Connor Price,Hip-Hop,11
7k73EtZwoPs516ZxE72KsO,ONE OK ROCK,Rock,18
4TaSvnT5o4REFwhqfrmK27,imase,Indie,12
6fOMl44jA4Sp5b9PpYCkzz,NF,Hip-Hop,11
0Vw76uk7P8yVtTClWyOhac,HONNE,R&B,17
2qxJFvFYMEDqd7ui6kSAcq,Zedd,EDM,8
4S9EykWXhStSc15wEx8QFK,Céline Dion,Ballad,1
3gIRvgZssIb9aiirIg0nI3,Jeremy Zucker,Indie,12
20JZFwl6HVl6yg8a4H3ZqK,Panic! At The Disco,Rock,18
2sSGPbdZJkaSE2AbcGOACx,The Marías,Indie,12
3DiDSECUqqY1AuBP8qtaIa,Alicia Keys,R&B,17
3IW7ScrzXmPvZhB27hmfgy,Jul,Hip-Hop,11
4yiQZ8tQPux8cPriYMWUFP,Gwen Stefani,Dance Pop,7
6MDME20pz9RveH9rEXvrOM,Clean Bandit,EDM,8
1l7ZsJRRS8wlW3WfJfPfNS,Christina Aguilera,Ballad,1
0p4nmQO2msCgU4IF37Wi3j,Avril Lavigne,Rock,18
7kOrrFIBIBc8uCu2zbxbLv,yama,Indie,12
6tbjWDEIzxoDsBA1FuhfPW,Madonna,Dance Pop,7
2jnIB6XdLvnJUeNTy5A0J2,Why Don't We,Dance Pop,7
2EqaSEa0WkE59Aca9iXSYj,『ユイカ』,J-Pop,14
1KCSPY1glIKqW2TotWuXOR,P!nk,Dance Pop,7
0jnsk9HBra6NMjO2oANoPY,Flo Rida,Hip-Hop,11
6e3pZKXUxrPfnUPJ960Hd9,Pomme,Indie,12
67FB4n52MgexGQIG8s0yUH,Lola Young,R&B,17
19k8AgwwTSxeaxkOuCQEJs,Jelly Roll,Rock,18
3ipn9JLAPI5GUEo4y4jcoi,Ludacris,Hip-Hop,11
1bqxdqvUtPWZri43cKHac8,MAX,R&B,17
5fMUXHkw8R8eOP2RNVYEZX,Diplo,EDM,8
1yxSLGMDHlW21z4YXirZDS,Black Eyed Peas,Hip-Hop,11
